nom,total_wealth
briand,691165382.0
PELLENC,169165656.0
MARTIN,97023523.0
Crémont,93187917.0
Renaud Garabedian,72178400.0
COUTIERE,68947932.0
Maillard,55665800.0
VERNY,49020000.0
Ferracci,45344895.0
MORIN,41331154.0
DOMINICI,40897236.0
Morel,40641109.0
Cayeux,37749612.0
DUBOST,36334405.0
Fountaine,35000000.0
MICHOUX,27865644.0
Ruelle,25357407.0
LEROY,25073634.0
Alfandari,23049705.0
PEROTTINO,22769265.0
Riester,21334739.0
Lombard,21021514.0
Vogel,20695052.0
MIRAVETE,18776500.0
PARA,17989898.0
Muselier,17426379.0
JOURDAIN,15789500.0
Pecresse,14638522.0
BLANCHET,14275814.0
BLANC,14072141.0
CECCOLI,14054910.0
Levy,13476634.0
RUAS,12905030.0
VIALATTE,12349874.0
marolleau,11116025.0
POMERET,10796968.0
PAINEAU,10309486.0
TREMEGE,10287284.0
RIGAUD,9803712.0
de JENLIS,9735854.0
Copé,9657567.0
DE CANSON,9656500.0
CADIC,9210000.0
Giscard d'Estaing,9079786.0
chartreux,8513448.0
CHATILLON,8489733.0
GIRARD,8229513.0
Missoffe,8098954.0
de NICOLAY,8000000.0
FAYSSAT,7762994.0
naegelen,7550043.0
Bernard,7143388.0
de Lasteyrie,6542225.0
Roques,6528052.0
LASSALLE,6320607.0
beauchamps,5940000.0
DE MONTGOLFIER,5750512.0
NOUGEIN,5379076.0
dario,5301000.0
JENFT,5274049.0
vigier,5168930.0
de Bourrousse,5000000.0
NOUVELOT,4953965.0
jardé,4659604.0
HOURQUET,4375656.0
Sido,4097790.0
POINTEREAU,4058316.0
Pezzetta,4024036.0
DOUCET,4002682.0
LAPORTE,3932000.0
PLAGNEUX,3922798.0
NICOLAS,3681406.0
BATAILLE,3628545.0
PEDUZZI,3611481.0
COLIN,3585172.0
Méary,3584166.0
Firmin Le Bodo,3571735.0
Callet,3560000.0
Jamet,3555915.0
IMBERT,3533084.0
PERAZIO,3450810.0
ISABELLE,3351085.0
Blanchet,3341606.0
Braun-Pivet,3311904.0
TEMARU,3262373.0
CHAIX,3231525.0
BRARD,3100000.0
BENEVENTI,3084768.0
Thieriot,3061500.0
lucas,3039691.0
BELIN,3020800.0
BREMOND,2931504.0
GENIS,2922458.0
JULLEMIER,2800000.0
Leroy,2798392.0
de bazelaire,2759932.0
VEAU,2753106.0
vogel,2652280.0
DAUSSAN-WEIZMAN,2642844.0
Gras,2559982.0
Hugonet,2541057.0
MILLION,2534930.0
DUPIRE,2500000.0
Battail,2362040.0
SAEIDI,2351948.0
Sautarel,2282363.0
zerkani,2279019.0
SEBEYRAN,2263166.0
Bringer,2230251.0
DE CALAN,2214000.0
NIRLO,2198829.0
Bercault,2184000.0
SERRUS,2180376.0
GINESY,2145500.0
meriaux,2144400.0
LEDOUBLE,2125100.0
PIGRENET,2080506.0
ROULLE,2080000.0
DOMEN,2066668.0
GUICHARD,1970250.0
michel,1969032.0
VIAUD,1965951.0
FISCHER,1962500.0
THIRIET,1950026.0
Joyandet,1948100.0
THIEN AH KOON,1901928.0
Cazabonne,1882244.0
FICHERE,1869000.0
Riffaud,1835544.0
GUILLON,1832000.0
pericard,1810604.0
PAUGET,1810046.0
JULIEN-EMMANUEL-LUREL,1800000.0
DARRASSE,1790120.0
Amar,1771000.0
PETIT,1767566.0
Gassilloud,1760800.0
Phélippeau,1712700.0
BABOUHOT,1690200.0
DEVAUTOUR,1685449.0
JACQUEMET,1685403.0
RIGOLLOT,1675972.0
HURMIC,1666000.0
BAZILLE,1656000.0
GERARD,1655104.0
GRIGNON,1650000.0
SCHMIT,1646241.0
LECOUFLE,1637721.0
Dejean de La Batie,1620000.0
DEJOIE,1608600.0
soussi,1591500.0
menache,1580228.0
CONCAS,1571000.0
AMSLER,1535760.0
LEGENDRE,1534500.0
Barraud,1530000.0
de Carolis,1530000.0
ANGELRAS,1520668.0
Armanet,1476316.0
Lemoine,1454087.0
Garnier,1448007.0
CAZENEUVE,1437288.0
Meunier,1434327.0
SAURY,1422662.0
SANTONI,1400000.0
LOUWAGIE,1357711.0
de Pélichy,1350800.0
DURANTON,1343900.0
Heinrich,1337910.0
DAVID,1291577.0
Girardot Moitié,1291500.0
ASSEH,1290000.0
MANGIN,1282705.0
LE PEN,1280256.0
Chappaz,1274039.0
MICHEL,1250708.0
NEUVY,1249202.0
Grosperrin,1247488.0
HUGUET,1236060.0
MINIOU,1224000.0
PERRION,1208000.0
LEBIGRE,1200000.0
VON-PINE,1200000.0
MEIGNEN,1182000.0
Kalfon,1176768.0
Terrier,1176474.0
gargani,1176140.0
LASSARADE,1173831.0
BOURDOULEIX,1171242.0
Disdier,1165732.0
Dechy,1160000.0
Papadopulo,1150000.0
ALAIN,1149398.0
MARAULT,1138000.0
SELLIER,1121650.0
AUGIER,1117132.0
Guyader,1111533.0
HART,1103531.0
BILLON,1097000.0
Denormandie,1088805.0
WARSMANN,1080526.0
Bonnus,1080000.0
stassinos,1078566.0
Torloting,1075040.0
de Carville,1056048.0
DROMIGNY,1043920.0
chalopin,1038632.0
Mulot,1030000.0
Mebarek,1023099.0
grange,1016608.0
VUILLEMIN,1006200.0
PERRY,1005544.0
PIERRE,1000000.0
Thoraval,1000000.0
DUCOUT,1000000.0
WEILL,972288.0
de LEGGE,957250.0
MARLIN,954000.0
Isaac-Sibille,951247.0
GOULET,945435.0
Galy,945000.0
BERTAIL,941830.0
Dussaubat,940000.0
Bazin,935082.0
Dambach,930750.0
ROUSSET,924098.0
Poniatowski,918400.0
PEILLEX,905724.0
GAY,903000.0
Marimoutou-Tacoun,902980.0
Masquelier,900000.0
GALAND,885000.0
SUSZYLO,881719.0
louault,878082.0
Gest,856908.0
DUGOURD,855135.0
olivier,854669.0
Bourel de La Roncière,854034.0
vernin,852666.0
Richefou,845000.0
BERTRAND,843000.0
MOREAU,839693.0
perrin,830142.0
LISNARD,822885.0
JOLIVET,821469.0
CAMPELLO,817500.0
Minard,813400.0
COULON,810300.0
rousseau,809589.0
BORDES,809532.0
jeandon,808496.0
pustorino,806484.0
PARENT,804378.0
damergy,800000.0
ghigonetto,800000.0
Guillou,796978.0
KERNEIS,792000.0
Omarjee,790810.0
TERRAIL NOVES,790663.0
Gastinne,781588.0
Berthet Cottarel,769617.0
Hénaff,769140.0
QUILLET,766085.0
Turquois,765139.0
ROCHETTE,757946.0
VALOIS,752236.0
COLOMBIER,751187.0
Virapoullé,750548.0
WATELAIN,749000.0
CHAZAL,743501.0
Ruffin,741382.0
TEMAL,736842.0
Fabre,733212.0
POTEAU,727254.0
MAZY,726543.0
PANONACLE,726505.0
Patrier-Leitus,720020.0
STRAMBIO,718500.0
Gatault,715184.0
PORCQ,713000.0
RIBOUT,712500.0
Rivière,710199.0
Ségneré,701942.0
CHASSEING,700000.0
AUDOUY,697554.0
Gendraud,694300.0
Trupin,684119.0
SALVADOR,677076.0
BILDE,675204.0
BLANCHÉ,672000.0
vautrin,667400.0
GROS,665625.0
pechenard,661932.0
GIRONCEL,655806.0
COURTIAL,652944.0
GAYSSOT,652936.0
MONNIER,652000.0
panosyan-bouvet,649518.0
BRUNMUROL,649229.0
de la Verpillière,647400.0
BELLANGER,647378.0
de Lépinau,643434.0
gomont,643372.0
CHAUVET,641000.0
SUCK,638620.0
FUCHS,637730.0
Charton,633680.0
PROUST,633424.0
Courtois,632814.0
VENTRON,632465.0
khalifé,628950.0
Samat,627840.0
Vincent,625134.0
Rousselot,619046.0
Gerbaud,617848.0
Hollande,616657.0
BONNET-VALLET,614000.0
Rivery,613000.0
AUBERT,611930.0
Durruty,611880.0
LARCHER,611692.0
LAGARDE,605219.0
MOUTON,601375.0
FROGIER,600820.0
Labaronne,600000.0
DA SILVA,600000.0
Engrand,599300.0
Imart,595034.0
D'INTORNI,594025.0
VIDAL,592187.0
ARNAUD,591878.0
NIQUE,580000.0
SCHRECK,577850.0
GREAUX,573800.0
GUIGUE,571974.0
Debil,570421.0
Ramdane,570000.0
Ouzilleau,569004.0
SORET,568600.0
Forissier,563768.0
FORESTIER,562000.0
cornillet,560550.0
Dromain,556838.0
PARIGI,556800.0
LAGOURGUE,549743.0
LAM,546866.0
FOURNIER,543599.0
pouzergue,540100.0
MATHONIER,537954.0
Alexandre,536419.0
Lang,535262.0
Donath,535135.0
Faucher,535000.0
LE PEIH,532221.0
BRUNET,529928.0
MOURRA,529276.0
Letchimy,529000.0
PENA,523976.0
dubay,512795.0
cavanna,510000.0
ZINGRAFF,510000.0
MOUSSET,510000.0
ROSEREN,509675.0
PLANTE,508421.0
ALLOTO,508300.0
DORTE,507524.0
Yavuz,505000.0
Pozmentier,502600.0
Marsigny,500439.0
Cuillandre,500300.0
lagier,500000.0
COLLART,500000.0
Mercier,497426.0
MARCILLY,496500.0
LAVIT,490000.0
HERVIEU,488220.0
DUFFOURG,486960.0
capdevielle,486872.0
MOREL,486687.0
PIEDNOIR,485698.0
zuili,485510.0
KOSSOWSKI,485328.0
FABREGOUL,482000.0
OZENNE,481500.0
Cinieri,480045.0
Gosselin,480000.0
REID ARBELOT,479663.0
ANGELINI,479523.0
Lochmann Beaujour,476840.0
ALLEGRET-PILOT,475806.0
Corne,472500.0
FRICOUT,471347.0
BAY,467304.0
LETRILLART,466753.0
simeoni,462800.0
SEGUIN,454150.0
Chorain,450000.0
EPINAT,448400.0
Pozzo di Borgo,443080.0
Lahiani,441705.0
LHEUREUX,440706.0
SURLE-GIRIEUD,440436.0
DE CARVALHO,438353.0
cambon,432094.0
Chaize,432000.0
RAVOT,430246.0
Farreng,429000.0
FLEURY,426500.0
BERNARD,426435.0
LOMBERTIE,422816.0
Huyghe,417093.0
GINER,415829.0
HUNAULT,406950.0
Markowsky,401740.0
metzdorf,401600.0
PERRUT,401179.0
MARCHAND,400000.0
RITOURET,400000.0
Gouin,400000.0
THURIOT,399935.0
BLINT,398000.0
AUDEBERT,396017.0
TENENBAUM,394837.0
BRUGERE,393550.0
GODIN,390513.0
Mohamed Soilihi,390000.0
BIBERON,388747.0
BRAULT,386110.0
chasseing,385000.0
MAHET,384741.0
MENONVILLE,384027.0
Fontaine,382500.0
ERRANTE,376115.0
VERSTRAETE,375150.0
RAYNAUD,374988.0
Benabdillah,373803.0
Bournat,372000.0
D’Alguerre,370000.0
MATTEI,368450.0
SERVA,368164.0
Favre d'Anne,367100.0
TALARMIN,361368.0
CHENEVARD,361147.0
Jean-François,360000.0
MAHE,360000.0
Andrieu,357800.0
BENOIT,357510.0
OLIVE,356545.0
BOUARD,355000.0
haquin,354000.0
BRIQUET,352778.0
Medevielle,352000.0
ROSSETTI,350494.0
KORCHEF-LAMBERT,350000.0
MORANCHO CROQUETTE,350000.0
malhuret,344702.0
JACQUE,342221.0
BADIN,340400.0
MULLER-BRONN,339954.0
AMBLARD,339918.0
Le Breton,339713.0
LEONETTI,338914.0
Cholley,335992.0
Hartmann,335008.0
FABRE,333200.0
Fargeot,330300.0
LAERNOES,326903.0
MARSEILLE,324248.0
brissard,320964.0
Habib,320480.0
dumoulin,320041.0
CAZAUBON,320000.0
DELMER,319644.0
RONZIERE,316139.0
Quenette,314348.0
PELLEGRIN,314102.0
Clergeau,312839.0
DARDELET,312400.0
CHERUBINI,310000.0
FAIVRE,308418.0
MILLET,308380.0
Gouverneur,307860.0
Cazeneuve,306566.0
apourceau-poly,303865.0
TEINTENIER,302174.0
monchy,301000.0
ENGRAND,300000.0
risser,300000.0
GERNEZ,300000.0
ROUSSEAU,299049.0
potier,294230.0
GIRAULT,293000.0
GRAPPIN,291759.0
Saulignac,291224.0
PIANETTI,290739.0
Souyris,290142.0
Hoerlé,290000.0
PIANEZZA,287268.0
CHERON,287144.0
germain,287000.0
Pons,285000.0
Sturni,282240.0
LE CORRE,281203.0
Denis,280000.0
malet,280000.0
DEBAT,280000.0
CORNELOUP,279820.0
Rouly,279619.0
ISEPPI,278500.0
TAILLY,276815.0
WINOCOUR LEFEVRE,275830.0
PIMPIE,275764.0
GRAND,273588.0
JUNG,273276.0
MILLER,272736.0
Dati,270826.0
Dupont,269736.0
THILLAYE,269202.0
GORIOUX,268722.0
MIRALLES,268688.0
RODINGER,268584.0
MOURIER,266358.0
Raynaud,265000.0
DESTAILLEUR,264900.0
PELLICANO,262443.0
CHIKIROU,261706.0
Dauré,260000.0
Boussard,260000.0
ATTAL,260000.0
meunier,260000.0
SCHMITT,258032.0
Bonfanti-Dossat,253628.0
MAGNIER,252780.0
Masson,251000.0
POIRIER,251000.0
Marini,250366.0
Pradié,250000.0
TOE,250000.0
LE GRAND,250000.0
BUGIS,249681.0
labarthe,249585.0
LEMASSON,247730.0
Cauwel,245240.0
VETILLART,244000.0
QUERO,242250.0
LE YONDRE,242010.0
HOMMET,242000.0
MESSAGER,241467.0
ARTIGNY,241119.0
PITON,240967.0
BOUCHET,240016.0
Fouré,240000.0
COLOM,240000.0
SEROUX,240000.0
TREGUER,240000.0
BRACQUEMOND,239814.0
Rauch,239800.0
Garrabe,238970.0
PERRET,238319.0
HIDRI,237500.0
reichardt,237279.0
Delesalle,237065.0
Coail,237047.0
Clément,235576.0
BONHOMME,235492.0
Isnard,235166.0
DUTERTRE,234150.0
bonhomme,233554.0
FERRER,232307.0
BECHU,230000.0
JOSSERAND,229920.0
lebrun,227334.0
Campy,226380.0
MEGGIATO,225554.0
gosselin,225078.0
ARRIVE,225000.0
brochot,224850.0
condomitti,224265.0
DESCROUET,223875.0
DURIMEL,222450.0
Jesson,221488.0
nassah,220000.0
LOQUET,215600.0
GAILLARD,215000.0
Thionnet,214676.0
Peyroulet,213853.0
bergerol,213315.0
BAUDOUX,212822.0
de Choulot,211630.0
CUVILLIER,211407.0
CAZENAVE,211344.0
Albertini,211074.0
DELATTRE,211050.0
Ferrand,210844.0
CESARI,210620.0
RURUA,210000.0
Simonet,210000.0
Bres,210000.0
lecamp,209172.0
PRIOUX,208045.0
dauchelle,205000.0
LECLERC,202406.0
HERZOG,201114.0
Chassaubéné,201000.0
lagarde,200954.0
Monin,200500.0
HAITI,200352.0
FROMANTIN,200000.0
ANDREYS,200000.0
FAURE,200000.0
nebout,200000.0
BOCQUET,200000.0
Pelleteur,200000.0
ZAZOUN,199021.0
RONCIERE,198184.0
Muriel,197500.0
keloua hachi,195000.0
Daubet,194100.0
MEYER,194000.0
DENOUES,192000.0
GERNIGON,191500.0
ARNAULT,189359.0
Bédier,189004.0
CANAYER,188997.0
Brichet,188716.0
BONIN,188000.0
BRACCO,186000.0
Baldy,186000.0
barruel,185875.0
karam,185000.0
GAZAY,185000.0
GOMART,184000.0
le breton,183328.0
Thiébaut,183274.0
SAULNIER,180560.0
CUISSET,180000.0
Gonzalvez,180000.0
tukumuli,178638.0
COSTE,177713.0
HUVET,177226.0
fouassin,175321.0
ROME,175000.0
LIPSOS-SALLENAVE,173478.0
DHAMY,173340.0
Fouché,173181.0
DESEILLE,172675.0
SPET,172006.0
LESUEUR,170040.0
GENDROT,170020.0
LAFON,167100.0
Léger,167040.0
EAP,166773.0
Garot,166306.0
Midy,165599.0
FESNEAU,164750.0
Le Bourgeois,162112.0
FAVREAU,162096.0
Detavernier,161903.0
Coste,161100.0
ROMAGNY,160000.0
DELL AGNOLA,160000.0
AKPINAR-ISTIQUAM,160000.0
MASSET,159991.0
DURAND,159989.0
SACCANI,159356.0
YADAN,158665.0
BEAUCOUESTE,158475.0
MERCIER,158418.0
GRANDJEAN,158009.0
Leblanc,157809.0
VIRY,157642.0
CANARD,157500.0
FAUTRA,157500.0
Toranian,157000.0
Desprez,156900.0
dumas,155496.0
Cathelain,155122.0
Liso,155013.0
bonnet,154800.0
VALORGE,153750.0
GARRON,153534.0
GUEDJ,153502.0
De Beule,152640.0
Hameau,152320.0
JACQUIN,152256.0
woerth,152000.0
Nahant,151980.0
PHILIPPE,150105.0
brial,150000.0
Henrion,150000.0
saint-paul,150000.0
Pestre,150000.0
BELLEVILLE,150000.0
vasselin,150000.0
BERETTONI,150000.0
Belot,149694.0
Pelanne,149000.0
MARIE-LOUISE,149000.0
Fontimp,147528.0
Klinkert,145372.0
RAINVILLE,145228.0
joly,144207.0
BAYLET,144006.0
DELPY,144000.0
paoli-gagin,142536.0
VARAUT,142000.0
ROMELLE,141090.0
MELCHIOR,141049.0
LENFANT,140000.0
homehr,140000.0
LE MEUR,139929.0
KARAMANLI,139800.0
billault,139054.0
Gatel,138082.0
Daniel,136235.0
Chalumeaux,136150.0
MATHIEU,135108.0
LE MOULLEC,135000.0
Semler-Collery,134986.0
GOBLET,134238.0
Guiraud-Chaumeil,133826.0
MOUNIER,133400.0
GLEMOT,132892.0
DEVALLEE,132465.0
BEHOTEGUY,131845.0
MARCHIO,131001.0
Michelet,130000.0
JUVIN,128870.0
vallet,128693.0
BILLOT,128000.0
FISCHER PATRIAT,127894.0
MILON,127500.0
LAMQUET,127500.0
AROSTEGUY,126951.0
BAPTISTE,126675.0
PONS,126400.0
Belleval,126344.0
ROY,125736.0
morel,124890.0
TERLIER,124252.0
de COURSON,124245.0
Christophle,123188.0
PERRAUD,122908.0
CORDIER,120073.0
Bouchez,120000.0
BOUTRUCHE,120000.0
Audrin,120000.0
DESSEAUX,120000.0
CHENEAU,120000.0
LEDUC,120000.0
CHIAVASSA,119880.0
Monnet,118898.0
LATOUR,118790.0
Le Nagard,118716.0
Stern,118137.0
Cotterlaz-Rannard,116632.0
PALACIN,115515.0
BOLZE,115200.0
MUNCK,114284.0
Bourleau,114213.0
Mansour,114000.0
SIMIAN,114000.0
HIRAUX,113800.0
AT,113456.0
Vercamer,113400.0
Bazin-Malgras,112594.0
JOLY,112440.0
Fostier,111600.0
PELISSIER,110844.0
DUBLANCHE,110500.0
de russé,110415.0
DUTIN,110203.0
MOTTE,110000.0
HAREUX,110000.0
tillard,108625.0
Chain-Larché,108248.0
Minarro Baudouin,108218.0
BOEDEC,107861.0
HURELLE,107600.0
Robert-Dehault,107036.0
Cristiani,106400.0
Laëtitia,106359.0
nury,105000.0
DASTILLUNG,104899.0
DAUBRESSE,104725.0
GEHANT,104139.0
LENOURRICHEL,104000.0
Narassiguin,103898.0
SELLY,103500.0
Gautier,103200.0
Robert,103128.0
BRIERE,102695.0
chapuis,101506.0
ROTOLO,101500.0
HERBILLON,100800.0
HUBERT,100315.0
DARY,100114.0
Gisselbrecht,100000.0
sandragne,100000.0
BORRE,100000.0
courtel,100000.0
MONTECOT,100000.0
Brun,100000.0
GREGOIRE,100000.0
durrieu,99920.0
MESLOT,99711.0
Lengereau,99640.0
DEVINAZ,98713.0
FRAPPE,98044.0
Werbrouck,97885.0
bazile,97648.0
LEVADE,96937.0
Guilloteau,96860.0
LOCQUET,96700.0
BOST,96210.0
SEJEAU,96000.0
AVEROUS,94807.0
Le Liboux,93599.0
Ferré,93515.0
Gobert,92966.0
Chevillard,92501.0
BEGEL,92400.0
Bay,91725.0
TROADEC,91654.0
DUPONT,91597.0
Faure,91521.0
Marion,91250.0
GENTIL,90717.0
SEGAUD,90624.0
Casterman,90585.0
DUQUESNE,90000.0
VERRIER,90000.0
LERMAN,90000.0
LACOMBE,90000.0
JEAN-LOUIS,89400.0
MAZARS,88770.0
ARLABOSSE,88360.0
Félix,85254.0
MANCUSO,85119.0
CHARGUEROS,85091.0
LESCOUTE,84810.0
VASSET,84727.0
PONCET,84118.0
HOUPERT,84000.0
BORGOO,84000.0
delaire,83925.0
PANIFOUS,83531.0
Bichet,83516.0
badenas,83000.0
PIRON,82467.0
Aubourdy,81250.0
HOCQUELET,81250.0
BELLAIS,81000.0
CHEVALLIER,80639.0
Lavarde,80565.0
Vos,80020.0
LAMY,80004.0
Tavernier,80000.0
Nédélec,79290.0
DREYSSE,79000.0
Mellinger,78836.0
Germanangue,78400.0
DEWIT VAN STYVENDAEL,77875.0
Taite,77750.0
LE FEUR,77165.0
CANNET,77000.0
daragon,76943.0
rudisuhli,76440.0
BERNO DOS SANTOS,75850.0
RAPP,75605.0
KBIDI,75245.0
VIALA,75200.0
Charafe,73914.0
Hehn,73300.0
MONNET,72800.0
DELAUTRETTE,72500.0
maistre,71700.0
COURTES,70989.0
JABLONSKI,70710.0
CHRISTOPHE,70150.0
DUNOD,70092.0
Blinette,70000.0
POUSSIER,70000.0
kahlal,69000.0
Bompard,68956.0
BULTEAU RAMBAUD,68601.0
Daubié,68600.0
Guigue,68301.0
Nicolas,67742.0
Desforges,67581.0
Michaud,67330.0
Bouquet,67064.0
SOULIER,66808.0
BEAULNES-SERENI,66798.0
ayral,66000.0
FRANÇOIS,65443.0
ARMAND,65268.0
Hamelet,65252.0
Calvat,65000.0
GUYON,64638.0
Hagenbach,64579.0
DAUGERON,64390.0
BOUAMRANE,64386.0
Bigot,63715.0
Aubin,63172.0
PEREZ,62650.0
Grasset,62500.0
BRANCOUR,62500.0
cefis,62500.0
DESVERONNIERES,62371.0
GORDAT,60924.0
Ledeux,60550.0
GREMILLET,60224.0
mignola,60100.0
LE NABOUR,60000.0
blanchard,60000.0
Lake,60000.0
DELGA,60000.0
TERIITAHI,60000.0
kuchel,60000.0
Henry,59865.0
FREY,59292.0
EME,58648.0
Dubois,58397.0
BRES,58223.0
BIRAS,58168.0
Ott,58022.0
SADI,57750.0
LAURENT,57322.0
coulon,56053.0
Ozenne,56000.0
Gontard,56000.0
DENIS,55800.0
BETTATI,55625.0
LEFEVRE,55582.0
FRISTOT,55533.0
