organization,mentions,filenames
7SF,1,df1d73eb-22b6-429e-a67e-281d5f872544-20171221.xml
8&,0,
Adecco Group France,0,
Afpa,0,
Anticor,2,"83a8d67b-42b3-4943-b078-33860e0950fa-20171221.xml,8b9b21f2-14b6-41e1-ad5c-10419b5a14ad-20171221.xml"
Ascend Partners,0,
Assistance Publique,9,"0888ba09-f34a-4964-aa4e-58c92f0cb424-20171221.xml,1accde87-fbc4-4e7d-9d58-c0ad88c67e46-20171221.xml,70e3cd96-9d91-444a-b8c2-58df6b9f1149-20171221.xml,7218d0d9-56d9-4bd3-a6d4-e881a8a30166-20171221.xml,8b696621-dfa4-43f8-8afd-02d07650618c-20171221.xml,a54da107-eece-42d5-bcd6-3cb9830b8de9-20171221.xml,ae8fabb7-4606-4dd0-b873-bb0082024dd8-20171221.xml,c50aadb4-4687-4490-b9d1-44c280af8553-20171221.xml,ef0d54e2-f872-44c8-be78-d7f96bed306d-20171221.xml"
August Debouzy,0,
Babilou Family,0,
Believe Capital,0,
Bpifrance,2,"b23a0b88-8323-4e3a-ae0b-9513f658748a-20171221.xml,cf81eb92-2463-4af3-9858-8c3b64a89c4f-20171221.xml"
Cabinet Clément,0,
Capgemini Consulting,0,
Commissariat,32,"171ecc23-3725-45c0-9ef6-247d087a389c-20171221.xml,1a36ce5f-5c29-45ae-ada1-b9aef842b504-20171221.xml,20019db4-cbd1-48d8-a333-b5d20e7deae1-20171221.xml,39622040-8435-49a6-b24b-1e6705530048-20171221.xml,3ac25058-f5e1-4e73-b16e-7894df80f59e-20171221.xml,3f5dc799-cfee-4084-aa54-2f7630e6efbd-20171221.xml,45410dfb-36b4-4f51-b3a9-cd6cf0b5b26c-20171221.xml,53e45a91-5c2a-45b0-b893-79f103fb1252-20171221.xml,57c22ae3-6c96-420d-b626-d9736d51084d-20171221.xml,675ecb46-7f16-46ad-b351-483276eae438-20171221.xml,6d8d1791-5589-43da-aa22-1eb430682652-20171221.xml,72c0eb0e-b470-4d89-b083-5df536ab1b63-20171221.xml,748bff1b-6646-44e7-8faf-fe4abd338606-20171221.xml,7fb27ff7-4195-4399-8506-7f12950a0f20-20171221.xml,83b995d5-c39a-4660-a695-05d153efedcb-20171221.xml,846223fb-0d08-454f-8a01-bea6584c43a3-20171221.xml,8f118e67-0daa-4fb9-a03a-8054ad422f30-20171221.xml,9a45cd01-f42a-4c1f-be80-4819f9e9eb9d-20171221.xml,a4098378-e179-4724-a2f3-0c56eba34438-20171221.xml,a4b921a4-059c-43ac-adea-c9d4593d2bc4-20171221.xml,a53312dc-1668-4d46-a0a4-307032a2c15d-20171221.xml,a62765d5-c206-4980-ada1-7840bf0e9a40-20171221.xml,a86dfcde-adf2-4238-a5de-cd47fc4503bd-20171221.xml,aa4067c7-753f-476e-bdc8-ac9ad8975534-20171221.xml,aeb4a518-2b7f-4207-9774-61d01d40f172-20171221.xml,b487f05f-955b-4976-b8b4-d0ab641dad9a-20171221.xml,b72cc1b9-3b49-4c3a-9027-ee432a04838b-20171221.xml,bc69bd78-8147-4943-9e7b-37521629ff28-20171221.xml,c8aa3c80-ac51-4cad-a9d0-ee473fbc11f6-20171221.xml,d86545e4-c123-4c17-8a9b-436e2fd50f91-20171221.xml,dbed8774-a3ae-429c-a93e-0b3ea9f9ec99-20171221.xml,e3c4cf96-eea4-4d70-8033-14e69e68231a-20171221.xml"
Consumer,2,"125452b5-710a-403a-b24f-a9a77d9c225a-20171221.xml,84708f1c-bdd7-4d24-aa1a-071c5dcb2487-20171221.xml"
Culture Viande,0,
Deveryware,0,
Docaposte,0,
Doctolib,0,
Edenred,7,"1e9583f0-ef71-490a-9b17-f5cb9c717ead-20171221.xml,20dd292d-f8e6-43b8-9aac-74cd0d15e527-20171221.xml,2ad61df4-31b9-47ed-8b5c-d06edf2092a3-20171221.xml,56d0da64-f5ab-489b-847e-f3ac171877e6-20171221.xml,98ad19eb-b842-424c-aefa-c6ad3796d14f-20171221.xml,a5c84f44-dc9f-449c-a3d7-800651f3fa2d-20171221.xml,d0c72c94-933d-4698-868a-359fda060a63-20171221.xml"
Egon Zehnder,0,
Enedis,5,"1d3fb871-239b-4171-88c7-14b179781ba1-20171221.xml,2a453acb-8eaa-43b3-967b-98f4f8ee9c58-20171221.xml,75f7e392-e9d9-4606-a3cd-94c156dbb48f-20171221.xml,910539e2-c203-4904-9f7d-db332067b854-20171221.xml,ef0dcbc3-909d-4c98-94fc-f23c9c540bec-20171221.xml"
Evolen,0,
Faurecia,2,"609e82ed-45d1-4cd0-8c35-87de9ca9f068-20171221.xml,e1f8a832-1d40-4e34-a450-9bdfa971064e-20171221.xml"
Flexipro,0,
Foncière Magellan,0,
Fondation Cartier,2,"1c040b9b-73eb-446b-ae22-f30ff0a5d958-20171221.xml,5e531883-cbdf-43ff-9bb7-ad862b3b104e-20171221.xml"
Forseti,0,
Founders Future,0,
Gide Loyrette Nouel,0,
Horizons,18,"1799a3da-8c13-4327-b6d3-b58bf7e2c9e9-20171221.xml,209dcb27-186a-4066-be4b-09cd74ba0d0f-20171221.xml,31cc4969-7c20-4ee7-877b-f3cc64eea239-20171221.xml,42b7b3c2-29ee-4094-af3d-8664af755f5e-20171221.xml,489022d6-1ee5-45d7-abeb-0f05038d5e91-20171221.xml,5cd28b3e-7fd4-43ae-8b40-a8449548fdc0-20171221.xml,83db184a-0595-465e-b5f5-7adaa4cdd4c9-20171221.xml,86b1818f-4712-49f1-850d-592d0a92b668-20171221.xml,8f677a85-3904-4da6-8d13-360ee93cfecd-20171221.xml,94f5726f-47b9-429f-b154-f4571e9fd6be-20171221.xml,b0f06df6-3c4b-45c9-bf3d-4498fb9e0163-20171221.xml,c7e97bf5-7a09-493d-b433-21a3bd7ea2be-20171221.xml,cfc88de0-c4d7-4be7-860f-e46f527e3303-20171221.xml,dbb13c2a-283a-4dbd-8af6-ac5fb3001c1a-20171221.xml,e3408640-960e-4c7d-8535-b45c13754f2a-20171221.xml,e4dc59d0-a7ea-452c-aed0-013fefaa05b9-20171221.xml,ed76bfb8-5dfe-47c6-a84b-12836e3db3d4-20171221.xml,f9be46a4-406d-4e7f-9e19-f474d77c231e-20171221.xml"
Idex Énergies,0,
Inli,0,
Institut Mérieux,0,
K Advisory,0,
Karth Avocats,0,
Lasociété GGE,0,
Lasociété Pasqal,0,
Louis Vuitton,0,
Malakoff Humanis,0,
Mazars,0,
Meridiam,0,
Meridiam Europe IV,0,
Montefiore Investment,0,
My Job Glasses,0,
Mérieux NutriSciences,0,
Naarea,0,
Orano Projets,0,
Pasqal,0,
Pasteur,46,"086f3d8b-cde5-414b-8d4b-1eb2f54dcb19-20171221.xml,09b239e0-3055-4e0a-892a-b3b7858174cf-20171221.xml,0ed220a2-e214-4a6d-9ef0-8e6aa0b896f0-20171221.xml,1ad77bff-3cd5-4a94-9bc6-8b9c745bb68c-20171221.xml,21fb5201-f8c0-4447-a7da-2c969bba0d95-20171221.xml,22545209-0221-4e4c-8b7b-eca38c9bd519-20171221.xml,36c34bf5-fdae-4b7c-b546-af15ddef303a-20171221.xml,3f2420ad-a962-4170-9d64-0c3ac64fcd0a-20171221.xml,4ba2a7bf-06b3-44a7-b6db-957050804ac6-20171221.xml,4bc262a0-b01c-4489-9a4e-abd8e57a978b-20171221.xml,554472ac-e9a6-462e-804d-2ea340982ce3-20171221.xml,580948a8-f8f4-44a9-8550-364c879b3e3b-20171221.xml,6804c17a-dcb0-4d58-9399-83d28b84d59d-20171221.xml,81cf6997-dc4c-47e9-907d-844917c18f54-20171221.xml,831dd152-bb22-449e-b6b2-bd328d31820c-20171221.xml,860ca1e4-122a-4b95-b0c2-778e81096658-20171221.xml,8b64a135-a4d1-4920-9e30-cf12a501845e-20171221.xml,8bf791f3-1ebd-452a-b8f0-910b7ca77ea4-20171221.xml,90ccfe59-6395-4af3-8cc8-576c8ceccf61-20171221.xml,9e48c340-349f-47f5-85e1-68b5c6705361-20171221.xml,a6baa084-8065-4d5e-be47-3937129a0884-20171221.xml,a9eb327c-07f9-46ed-bd45-de4ab9bf3dc2-20171221.xml,ab731077-f69c-4639-a62b-3c742e85681c-20171221.xml,b17d803c-dc7c-4bbc-b7c4-a64e6e659439-20171221.xml,b1ffbb6d-3500-4a12-8c45-51c1adba51c4-20171221.xml,b35d2a08-165b-4013-817b-35d1c82316e5-20171221.xml,b9a79b79-74b0-4f3c-91ad-62d330f10034-20171221.xml,bf908c7c-54b0-4ad7-93a6-25078749e445-20171221.xml,c0d49f41-7a1b-40a1-8325-80d2b9451b19-20171221.xml,c1a25270-ac84-4540-ad5d-bdda0cc6d310-20171221.xml,c1d20d7a-1fa3-4c2c-ab6e-6c6722f890fb-20171221.xml,c4dbbe3c-7e84-4592-9d8e-f52134566c3d-20171221.xml,d1649a9d-08ac-4224-96d3-23fcd4140eaa-20171221.xml,d2ead43a-8cb4-42d5-8672-b99dfa0cd94e-20171221.xml,da6825d1-efc7-4ec6-bae1-54a204ae004f-20171221.xml,dd41b3f2-d3b5-42f6-83b8-47eccf1afc04-20171221.xml,df932c55-8a44-444e-addf-e26314253403-20171221.xml,e038e0e6-abb7-4ac3-aa54-c235ab567eb0-20171221.xml,e177394a-c92b-4333-81de-336b031c0a4d-20171221.xml,e44c93ae-338d-4228-8e70-bc976db4e968-20171221.xml,e47be5a0-2b93-419f-a18e-cd22c94c2f33-20171221.xml,e92ed323-4528-40aa-b532-b86b9bcfabb4-20171221.xml,f134cf10-8ddc-4fd4-ad44-38d05d60f30d-20171221.xml,f42a6d82-1364-4809-8966-380b28e323b3-20171221.xml,f4f5b807-0694-4b8a-b13b-5101f20ff7ae-20171221.xml,f9e9c6fc-4b20-412e-9b20-9fb4d5c7724a-20171221.xml"
Perella Weinberg Partners,0,
Poseidon Holdco,0,
Publicis Consultants France,0,
Renaissance,31,"01910f1e-f1d8-448c-a852-426df89d843a-20171221.xml,088e14d4-94cc-4fc3-aeff-83799f57e842-20171221.xml,0984e2e9-ba32-474b-af26-11894e943b2e-20171221.xml,11ed9ce1-e79b-48d0-922f-8883a8cf0cab-20171221.xml,1353309a-71b2-4e5b-b239-bf2be08f09e2-20171221.xml,1c7725fa-d5a1-4628-918e-3dbc993f8f7a-20171221.xml,2abc11ee-f174-41a5-8a4a-f68f60d1635d-20171221.xml,2b6acb50-232c-4a27-ad74-763c87082b5f-20171221.xml,2f6317d4-e6a0-4d10-9a84-c5eee6ba3d59-20171221.xml,4b6dfbe3-8995-4bed-ae85-e5be50e6e768-20171221.xml,579e299e-857c-4f28-bb6f-0f3034390032-20171221.xml,5ffb92e8-7cc1-48b4-9aea-630355cdcbcd-20171221.xml,6f167b79-70d8-4de8-bccc-5111ab022db0-20171221.xml,7b3abec4-664f-4c5e-8829-736841a9ed8d-20171221.xml,7fb604c2-b253-4838-b152-7062190b09c6-20171221.xml,87f3cfe8-0fe5-4d81-9d4b-2c1085984300-20171221.xml,8d57450b-0423-49c9-b3d7-ebccc5098461-20171221.xml,989f52b4-6486-462d-8d0b-48ab43454817-20171221.xml,a163ffcd-f07e-4a90-b2e8-1b274543b0fd-20171221.xml,a5bc141e-1c2a-426a-8729-1f119f90b6cd-20171221.xml,ae716ebf-0638-48e5-b2e6-35512071dab5-20171221.xml,b5286d35-d658-4f4c-a498-9ef6939ea2ae-20171221.xml,b8e70e3c-c7a6-45b7-b4a5-b8a4640d20f2-20171221.xml,bc325e81-c826-49d5-91a6-303222068778-20171221.xml,d04c1acb-035a-4d4f-a1e2-13d8f43b8403-20171221.xml,d318d07d-2b69-4cea-8a33-a526952d0c76-20171221.xml,df2ca2e7-7305-430f-b35e-c462d69f86ce-20171221.xml,e1c10d46-7195-43d5-b205-2419bd09c3e3-20171221.xml,e2d9022b-fd67-462c-84a8-dbce5d063005-20171221.xml,f5f52e19-4c23-4044-aa1f-b3f927b1674a-20171221.xml,fcb6b86d-5335-493d-a265-3994bc06d455-20171221.xml"
Retailleau,3,"131ba5d6-e8ae-44c5-a2df-f1515926d884-0.xml,676a53cb-d05d-48f5-8b87-e68803c56676-20171221.xml,814523ce-ab42-467c-a304-9f7e266cf843-20171221.xml"
Richemont Holding,0,
Shein,0,
Sherpa,0,
Silaexpert,0,
Soreqa,4,"13185f8c-6197-42c9-a6c1-d819b19b5c87-20171221.xml,2a7805c8-f039-48e9-9da8-e636a8583b18-20171221.xml,57df568b-0b5a-4c69-9ea3-a24fdf7405ce-20171221.xml,a7f733fa-1eba-4eec-9e17-682b3c64402c-20171221.xml"
Stellantis,6,"861d0c74-bf8d-4ee9-935b-349daa93d745-20171221.xml,9323a6fa-0f53-43cb-bf12-6e88475c75a1-20171221.xml,df0b0ef8-adcb-4e6f-a258-d39ffc20b58b-20171221.xml,f53e7828-ea06-4928-850b-e321a5206045-20171221.xml,f698cdfc-44cb-405c-a152-1450fc58332e-20171221.xml,fcabbb66-d9f2-42ea-8c83-f698c8a05ebe-20171221.xml"
Styles Ecommerce,0,
Sweep,0,
Tangerine,0,
Turgot Capital,0,
Vanige Consultants,0,
Verkor,0,
Verso Energy,0,
Weinberg Partners,0,
